DS_ID,NumberOfInstances,NumberOfFeatures,NumberOfClasses,Target_Feature,DS_URL2,898,39,5,38,https://www.openml.org/data/v1/download/1666876/anneal.arff
3,3196,37,2,36,https://www.openml.org/data/v1/download/3/kr-vs-kp.arff
4,57,17,2,16,https://www.openml.org/data/v1/download/4/labor.arff
5,452,280,13,279,https://www.openml.org/data/v1/download/5/arrhythmia.arff
6,20000,17,26,16,https://www.openml.org/data/v1/download/6/letter.arff
7,226,70,24,69,https://www.openml.org/data/v1/download/7/audiology.arff
8,345,6,0,5,https://www.openml.org/data/v1/download/8/liver-disorders.arff
9,205,26,6,25,https://www.openml.org/data/v1/download/9/autos.arff
10,148,19,4,18,https://www.openml.org/data/v1/download/10/lymph.arff
11,625,5,3,4,https://www.openml.org/data/v1/download/11/balance-scale.arff
12,2000,217,10,216,https://www.openml.org/data/v1/download/12/mfeat-factors.arff
13,286,10,2,9,https://www.openml.org/data/v1/download/13/breast-cancer.arff
14,2000,77,10,76,https://www.openml.org/data/v1/download/14/mfeat-fourier.arff
15,699,10,2,9,https://www.openml.org/data/v1/download/52350/breast-w.arff
16,2000,65,10,64,https://www.openml.org/data/v1/download/16/mfeat-karhunen.arff
18,2000,7,10,6,https://www.openml.org/data/v1/download/18/mfeat-morphological.arff
20,2000,241,10,240,https://www.openml.org/data/v1/download/20/mfeat-pixel.arff
22,2000,48,10,47,https://www.openml.org/data/v1/download/22/mfeat-zernike.arff
23,1473,10,3,9,https://www.openml.org/data/v1/download/23/cmc.arff
24,8124,23,2,22,https://www.openml.org/data/v1/download/24/mushroom.arff
25,368,27,2,23,https://www.openml.org/data/v1/download/25/colic.arff
26,12960,9,5,8,https://www.openml.org/data/v1/download/26/nursery.arff
27,368,23,2,22,https://www.openml.org/data/v1/download/27/colic.arff
28,5620,65,10,64,https://www.openml.org/data/v1/download/28/optdigits.arff
29,690,16,2,15,https://www.openml.org/data/v1/download/29/credit-approval.arff
30,5473,11,5,10,https://www.openml.org/data/v1/download/30/page-blocks.arff
31,1000,21,2,20,https://www.openml.org/data/v1/download/31/credit-g.arff
32,10992,17,10,16,https://www.openml.org/data/v1/download/32/pendigits.arff
34,90,9,3,8,https://www.openml.org/data/v1/download/34/postoperative-patient-data.arff
35,366,35,6,34,https://www.openml.org/data/v1/download/35/dermatology.arff
36,2310,20,7,19,https://www.openml.org/data/v1/download/36/segment.arff
37,768,9,2,8,https://www.openml.org/data/v1/download/37/diabetes.arff
38,3772,30,2,29,https://www.openml.org/data/v1/download/38/sick.arff
39,336,8,8,7,https://www.openml.org/data/v1/download/39/ecoli.arff
